forum_id	forum_title	forum_keywords
126	Cosmetic & Reconstructive Surgery Help	bariatric surgery reconstruction, breast augmentation, chemical peels, cosmetic reconstructive surgery, face lift, nose reconstruction, tummy tuck, Cosmetic Surgery, MedHelp, Ask a Doctor, Doctor, Forum, Communities	MedHelp's Cosmetic & Reconstructive Surgery Help Forum. This forum is for help, questions and support regarding Cosmetic & Reconstructive Surgery
1278	Pulmonary Hypertension Help	None	MedHelp's Pulmonary Hypertension Help Forum. This forum is for help, questions and support regarding Pulmonary Hypertension
1279	Congestive Heart Failure Help	None	MedHelp's Congestive Heart Failure Help Forum. This forum is for help, questions and support regarding Congestive Heart Failure
1284	Pregnancy: July 2012 Babies Help	None	MedHelp's Pregnancy: July 2012 Babies Help Forum. This forum is for help, questions and support regarding Pregnancy: July 2012 Babies
1285	Pregnancy: June 2012 Babies Help	June Baby, June Due Date, pregnancy, newborn, baby, baby forum, baby community, pregnancy forum, pregnancy support, pregnancy community	MedHelp's Pregnancy: June 2012 Babies Help Forum. This forum is for help, questions and support regarding Pregnancy: June 2012 Babies
128	Respiratory Disorders Help	Allergies, Asthma, Bronchitis, Colds - Flu, Chronic Cough, COPD, Cystic Fibrosis, Emphysema, Fibrosis, Lung Abscess, Nasal Polyps, Pleurisy, Pneumonia, Sarcoidosis, Sinusitis, Tuberculosis, Respiratory Disorders, MedHelp, National Jewish, Forums, Communit	MedHelp's Respiratory Disorders Help Forum. This forum is for help, questions and support regarding Respiratory Disorders
1296	Pregnancy: Aug 2012 Babies Help	None	MedHelp's Pregnancy: Aug 2012 Babies Help Forum. This forum is for help, questions and support regarding Pregnancy: Aug 2012 Babies
129	Urogynecology Help	Bladder Overactive, Bladder Pain, Bladder Fallen/Drooping, Bowel Urgency, Bowel Prolapse, Cystitis, Incontincence, Pain w/Intercourse, Rectal Prolapse, Surgery, Urinary Urgency, Uterine prolapse, Urogynecology, Ask a Doctor, MedHelp, Forum, Communities	MedHelp's Urogynecology Help Forum. This forum is for help, questions and support regarding Urogynecology
12	Grief & Loss Help	death of a loved one, miscarriage, terminal illness, depression, grief, death, loss, MedHelp, support, community, forum	MedHelp's Grief & Loss Help Forum. This forum is for help, questions and support regarding Grief & Loss
1311	Methadone and Suboxone withdrawl and addition	None	MedHelp's Methadone and Suboxone withdrawl and addition Help Forum. This forum is for help, questions and support regarding Methadone and Suboxone withdrawl and addition
1317	Pregnancy: Sep 2012 Babies Help	None	MedHelp's Pregnancy: Sep 2012 Babies Help Forum. This forum is for help, questions and support regarding Pregnancy: Sep 2012 Babies
1318	Pregnancy: Oct 2012 Babies Help	None	MedHelp's Pregnancy: Oct 2012 Babies Help Forum. This forum is for help, questions and support regarding Pregnancy: Oct 2012 Babies
131	Ovarian Cancer Help	Biopsy, Chemotherapy, Clinical Trials, Genetics, Hysterectomy,Immunotherapy, Ovarian Cancer Types, Radiation Therapy, Risk Factors, Screening, Staging, Surgery, Ovarian Cancer, Cancer, Ask a Doctor, Doctor, MedHelp, Forum, Communities	MedHelp's Ovarian Cancer Help Forum. This forum is for help, questions and support regarding Ovarian Cancer
1325	Ovarian Cysts Help	None	MedHelp's Ovarian Cysts Help Forum. This forum is for help, questions and support regarding Ovarian Cysts
132	Child Behavior Help	Child Discipline, Behavior management, Normal Child Development, Parent-Child Communications, Social Development, MedHelp, Forums, Communities, Ask a Doctor, Doctor	MedHelp's Child Behavior Help Forum. This forum is for help, questions and support regarding Child Behavior
1335	Amputee	Amputee and Limb Loss Rehab, Ankles, Arms, Feet, Fingers, Hips, Knees, Legs, Musculoskeletal Disorders, Orthopedic Rehab,  Prosthetics, Toes	MedHelp's Amputee - Orthopedic Rehabilitation  Help Forum. This forum is for help, questions and support regarding Amputee - Orthopedic Rehabilitation
1343	Cats Help	None	MedHelp's Cats Help Forum. This forum is for help, questions and support regarding Cats
1344	Dogs Help	None	MedHelp's Dogs Help Forum. This forum is for help, questions and support regarding Dogs
1349	Pancreatic Cancer  Help	None	MedHelp's Pancreatic Cancer  Help Forum. This forum is for help, questions and support regarding Pancreatic Cancer
1355	Vaginal Rejuvenation & Surgery  Help	None	MedHelp's Vaginal Rejuvenation & Surgery  Help Forum. This forum is for help, questions and support regarding Vaginal Rejuvenation & Surgery
1360	Colitis Help	None	MedHelp's Colitis Help Forum. This forum is for help, questions and support regarding Colitis
1363	Pregnancy: Nov 2012 Babies Help	None	MedHelp's Pregnancy: Nov 2012 Babies Help Forum. This forum is for help, questions and support regarding Pregnancy: Nov 2012 Babies
1364	Pregnancy: Dec 2012 Babies Help	None	MedHelp's Pregnancy: Dec 2012 Babies Help Forum. This forum is for help, questions and support regarding Pregnancy: Dec 2012 Babies
1375	Food Addiction / Sugar Addiction Help	None	MedHelp's Food Addiction / Sugar Addiction Help Forum. This forum is for help, questions and support regarding Food Addiction / Sugar Addiction
1383	Pregnancy: Jan 2013 Babies Help	January Baby, January Due Date, pregnancy, newborn, baby, baby forum, baby community, pregnancy forum, pregnancy support, pregnancy community	MedHelp's Pregnancy: Jan 2013 Babies Help Forum. This forum is for help, questions and support regarding Pregnancy: Jan 2013 Babies
1384	Pregnancy: Feb 2013 Babies Help	February Baby, February Due Date, pregnancy, newborn, baby, baby forum, baby community, pregnancy forum, pregnancy support, pregnancy community	MedHelp's Pregnancy: Feb 2013 Babies Help Forum. This forum is for help, questions and support regarding Pregnancy: Feb 2013 Babies
1390	Cirrhosis of the Liver Help	None	MedHelp's Cirrhosis of the Liver Help Forum. This forum is for help, questions and support regarding Cirrhosis of the Liver
1392	Huntington's Disease Help	None	MedHelp's Huntington's Disease Help Forum. This forum is for help, questions and support regarding Huntington's Disease
1393	Diabetes Prevention & Pre	None	MedHelp's Diabetes Prevention & Pre-Diabetes Help Forum. This forum is for help, questions and support regarding Diabetes Prevention & Pre-Diabetes
1395	Rheumatoid Arthritis (RA) Help	None	MedHelp's Rheumatoid Arthritis (RA) Help Forum. This forum is for help, questions and support regarding Rheumatoid Arthritis (RA)
1396	Sensory Integration Disorder (SID) Help	None	MedHelp's Sensory Integration Disorder (SID) Help Forum. This forum is for help, questions and support regarding Sensory Integration Disorder (SID)
1397	Sports Nutrition & Hydration Help	None	MedHelp's Sports Nutrition & Hydration Help Forum. This forum is for help, questions and support regarding Sports Nutrition & Hydration
139	Leukemia & Lymphoma  Help	ALL, AML, CLL, CML, SLL, anemia, biopsy, bone pain, chemotherapy, Hodgkins Lymphoma, monoclonal antibody therapy, Non-Hodgkins Lymphoma, stem cell transplant , swelling, vaccine therapy, weakness, Leukemia, Lymphoma, MedHelp, Forum, Community, chronic mye	MedHelp's Leukemia & Lymphoma  Help Forum. This forum is for help, questions and support regarding Leukemia & Lymphoma
13	Health Insurance Help	Medicare, Medicaid, Long-term health insurance, COBRA, insurance portability, MedHelp, Forums, Communities, Insurance, No Insurance, Coverage, Health Insurance	MedHelp's Health Insurance Help Forum. This forum is for help, questions and support regarding Health Insurance
1400	Pregnancy: Birth Plan Help	None	MedHelp's Pregnancy: Birth Plan Help Forum. This forum is for help, questions and support regarding Pregnancy: Birth Plan
1403	Varicose Veins  Help	None	MedHelp's Varicose Veins  Help Forum. This forum is for help, questions and support regarding Varicose Veins
1404	Gallbladder Help	None	MedHelp's Gallbladder Help Forum. This forum is for help, questions and support regarding Gallbladder
1415	Hernia Repair Help	None	MedHelp's Hernia Repair Help Forum. This forum is for help, questions and support regarding Hernia Repair
141	Senior Health Help	Assisted Living Issues, Caregivers, Clinical Trials, Drug Interaction Issues, Exercise for Seniors, Financial Issues, Nutrition for Seniors, Nursing Homes, Rehabilitation, Seniors and Sex, Seniors, MedHelp, forum, support	MedHelp's Senior Health Help Forum. This forum is for help, questions and support regarding Senior Health
1421	Pregnancy: March 2013 Babies Help	None	MedHelp's Pregnancy: March 2013 Babies Help Forum. This forum is for help, questions and support regarding Pregnancy: March 2013 Babies
1425	Bone Marrow Transplant Help	None	MedHelp's Bone Marrow Transplant Help Forum. This forum is for help, questions and support regarding Bone Marrow Transplant
1426	Lactose Intolerance Help	None	MedHelp's Lactose Intolerance Help Forum. This forum is for help, questions and support regarding Lactose Intolerance
1427	Stem Cell Transplant Help	None	MedHelp's Stem Cell Transplant Help Forum. This forum is for help, questions and support regarding Stem Cell Transplant
1428	Memory Loss Help	None	MedHelp's Memory Loss Help Forum. This forum is for help, questions and support regarding Memory Loss
1429	HIV * Living With * Help	None	MedHelp's HIV * Living With * Help Forum. This forum is for help, questions and support regarding HIV * Living With *
142	Child Nutrition Help	Child nutrition, Acne, Allergies, Food, Balanced Menus, Diabetes, Finicky Eaters, Healthy Snacks, Nutrition, Weight Loss, MedHelp, Forums, Communities, Registered Dietitian, Dietitian, Nutrition	MedHelp's Child Nutrition Help Forum. This forum is for help, questions and support regarding Child Nutrition
1434	Kidney Stones Help	None	MedHelp's Kidney Stones Help Forum. This forum is for help, questions and support regarding Kidney Stones
143	Nutrition Help	Acne, food allergies, Balanced Menus, Diabetes,  Eating Disorders, Healthy Snacks,  Hypo and Hyperglycemia, Nutrition, Over-eating, Weight Loss, Dietitian, MedHelp, Forum, Community	MedHelp's Nutrition Help Forum. This forum is for help, questions and support regarding Nutrition
1447	Embarazo (Español):  ¿Estoy embarazada? Help	None	MedHelp's Embarazo (Español):  ¿Estoy embarazada? Help Forum. This forum is for help, questions and support regarding Embarazo (Español):  ¿Estoy embarazada?
1457	Pregnancy: April 2013 Babies Help	None	MedHelp's Pregnancy: April 2013 Babies Help Forum. This forum is for help, questions and support regarding Pregnancy: April 2013 Babies
1458	Pregnancy: May 2013 Babies Help	None	MedHelp's Pregnancy: May 2013 Babies Help Forum. This forum is for help, questions and support regarding Pregnancy: May 2013 Babies
1459	Pregnancy: June 2013 Babies Help	None	MedHelp's Pregnancy: June 2013 Babies Help Forum. This forum is for help, questions and support regarding Pregnancy: June 2013 Babies
145	Eating Disorders Help	Anger and Eating, Anxiety and  Eating, Binge Eating,  Depression and Eating,  Eating to "fit in",  Emotional Eating, Fill the Void Eating, Guilt and Eating,  Loneliness and Eating, Social Eating, Stress and Eating, Roger Gould, MedHelp, Forum, Communities	MedHelp's Eating Disorders Help Forum. This forum is for help, questions and support regarding Eating Disorders
1460	Pregnancy: July 2013 Babies Help	None	MedHelp's Pregnancy: July 2013 Babies Help Forum. This forum is for help, questions and support regarding Pregnancy: July 2013 Babies
1463	Cardiac Rehabilitation Help	None	MedHelp's Cardiac Rehabilitation Help Forum. This forum is for help, questions and support regarding Cardiac Rehabilitation
1464	Coronary Heart Disease (CAD)   Help	None	MedHelp's Coronary Heart Disease (CAD)   Help Forum. This forum is for help, questions and support regarding Coronary Heart Disease (CAD)
1465	Dementia Help	None	MedHelp's Dementia Help Forum. This forum is for help, questions and support regarding Dementia
146	Genetics Help	Alzheimer's Disease, Blood-clotting Disorders, Breast Cancer, Cystic Fibrosis, Diabetes, Marfan Syndrome, Ehlers-Danlos Syndrome. MedHelp, Forums, Communities	MedHelp's Genetics Help Forum. This forum is for help, questions and support regarding Genetics
1474	Pregnancy: Aug 2013 Babies Help	None	MedHelp's Pregnancy: Aug 2013 Babies Help Forum. This forum is for help, questions and support regarding Pregnancy: Aug 2013 Babies
147	Abuse Support Help	Abuse, Emotional Abuse, Economic Abuse, Physical Abuse, Sexual Abuse, Social Abuse, Spiritual Abuse, Spousal Abuse, Verbal Abuse, MedHelp, Forums, Communities	MedHelp's Abuse Support Help Forum. This forum is for help, questions and support regarding Abuse Support
148	Lyme Disease Help	Joint Pain issues, Living with Lyme Disease, Nervous System issues, Prevention, Risk Factors, Skin Disorders, Lyme Disease, Forum, MedHelp, Community, lyme disease symptoms, lyme disease forum, swelling base of neck	MedHelp's Lyme Disease Help Forum. This forum is for help, questions and support regarding Lyme Disease
1492	DNA / Paternity Help	None	MedHelp's DNA / Paternity Help Forum. This forum is for help, questions and support regarding DNA / Paternity
149	Lupus Help	lupus, how is lupus diagnosed, living with lupus, risk factors, stress, symptoms of lupus, and treatments for lupus, lupus forums, lupis signs, lupus symptoms, lupus disease, symptoms of lupus, MedHelp, forum, community	MedHelp's Lupus Help Forum. This forum is for help, questions and support regarding Lupus
14	Lung Cancer Help	Lung Cancer, MedHelp, Forum, Nodule, subpleural nodule, Lung Cancer forum, lung granulomas, lung polyps, stage 3a lung cancer, polyps, granulomas, mass on lung, spiculated, chest scan	MedHelp's Lung Cancer Help Forum. This forum is for help, questions and support regarding Lung Cancer
1501	Women's Choice Help	None	MedHelp's Women's Choice Help Forum. This forum is for help, questions and support regarding Women's Choice
1503	Pregnancy 25	None	MedHelp's Pregnancy 25-34 Help Forum. This forum is for help, questions and support regarding Pregnancy 25-34
150	Teen Health Help	Abuse, Acne, Alcohol, Drugs, Exercise, Growth Disorders, Infectious Diseases, Learning Disorders, Nutrition, Piercings, Tattoos,  Teen Pregnancy, Relationships, Safe Sex, Sports Injuries, STDs, Vaccines, Weight Loss, MedHelp, Teenager, Teen	MedHelp's Teen Health Help Forum. This forum is for help, questions and support regarding Teen Health
1517	Hepatitis B	None	MedHelp's Hepatitis B - Philippines Help Forum. This forum is for help, questions and support regarding Hepatitis B - Philippines
151	Cold & Flu Help	Adult Cold, Adult Flu, Child Cold, Child Flu, Drugs and Medications, Immune Compromised Cold and Flu issues, Cold and Flu Prevention, Pneumonia, Senior Cold, Senior Flu, Treatments, Vaccines, The Flu Shot, Common Cold, Flu, MedHelp, Forum	MedHelp's Cold & Flu Help Forum. This forum is for help, questions and support regarding Cold & Flu
1529	Self Harm Community	None	MedHelp's Self Harm Community Help Forum. This forum is for help, questions and support regarding Self Harm Community
152	Pregnancy 18	Alcohol/Drugs, Bleeding, Caesarean Section, Childbirth, Diabetes, Depression, Fetal Monitoring, Genetic Testing, Hormonal Changes, Labor, Lamaze, Morning Sickness, Nutrition, Parenting, Prenatal Care, Weight gain, MedHelp, Forum, Communities	MedHelp's Pregnancy 18-24   Help Forum. This forum is for help, questions and support regarding Pregnancy 18-24
1531	Pregnancy: Sep 2013 Babies Help	None	MedHelp's Pregnancy: Sep 2013 Babies Help Forum. This forum is for help, questions and support regarding Pregnancy: Sep 2013 Babies
1532	Pregnancy: Oct 2013 Babies Help	None	MedHelp's Pregnancy: Oct 2013 Babies Help Forum. This forum is for help, questions and support regarding Pregnancy: Oct 2013 Babies
153	Pediatrics Help	Allergies, Behavior, Developmental Disorders,  Immunizations, Vaccines, Puberty, croup, shots, pediatrics, peanut allergy, peanut allergies, MedHelp, forum, newborns, toddlers	MedHelp's Pediatrics Help Forum. This forum is for help, questions and support regarding Pediatrics
154	Degenerative Diseases Help	Degenerative Diseases, MedHelp, Forum, Communities	MedHelp's Degenerative Diseases Help Forum. This forum is for help, questions and support regarding Degenerative Diseases
155	Divorce & Breakups Help	Anger, Child Custody, Child Support, Conflict Resolution, Co-Parenting, Dating, Depression, Friends and Family, Legal,  Pets,  Property Issues, Remarriage, Spousal Support, Visitation, Divorce, Break-up, MedHelp, Forum, Communities	MedHelp's Divorce & Breakups Help Forum. This forum is for help, questions and support regarding Divorce & Breakups
156	Immunization & Vaccine  Help	Vaccines, Immunizations, Anthrax, Chicken Pox, DPT, Diphtheria, Flu, Hepatitis, HPV, Measles, Meningococcal vaccine, MMR, Mumps, Pertussis, Pneumonia, Polio, Rubella,  Shingles, Small Pox, Tetanus, Travel  Immunizations, Whooping Cough, Yellow Fever, Foru	MedHelp's Immunization & Vaccine  Help Forum. This forum is for help, questions and support regarding Immunization & Vaccine
158	Alcoholism Help	Alcoholism, Health Issues, How to Quit, Reasons to Quit, Relapse Prevention, Friend and Family Support, AA, Alcoholics Anonymous, MedHelp, Support, Forums, Community, Drinking while Driving, DUI, DWI	MedHelp's Alcoholism Help Forum. This forum is for help, questions and support regarding Alcoholism
