group_id_text	group_name	group_type	group_keyword	group_members	group_description
recovery_after_vitamin_d_deficiency	recovery after vitamin D deficiency	Public	 Thyroid 	211	Feel free to tell your story,Let's hear your experience.
news_from_the_past_to_the_future_to_share_and_discuss	News from the past to the future to share and discuss	Public	 MedHelp General 	52	Do you have any kind of news--old or new or growing old that you want to share?  Do you want to discuss issues that are of concern in the news?  Do you want to share a perspective on how things are going in our Country, another country?  This group is for covering the whole wide world because everyone is equally important whether we agree or disagree with their beliefs.  The news can include information you want to share that you consider "news" worthy.  If we do quote a news source, let's try to use a legitimate one.  No extreme, shock journalism please.
arachnoiditis_sufferers	Arachnoiditis Sufferers	Public	 Neurology 	20	Arachnoiditis is a rare chronic neuropathic disease that has no cure. If you are looking for others who have this disease, you have found the right place. Take a moment to tell your story. Together we can help each other in our journey with Arachnoiditis.
clomid_club	CLOMID CLUB	Public	 Pregnancy 	246	A group for all the ladies who have been on clomid or are about to start.We can share information about the drug and help and support each other along the way.
ttc_over_45	TTC Over 45	Public	 Pregnancy 	58	For all us woman 45 or almost 45 trying to conceive. Weather it be natural or with the help of fertility treatments.
insomniacs_unite	Insomniacs Unite	Public	 Sleep Disorders 	24	This is a group for anyone who struggles with insomnia, whether it be a once in a great while thing, or a near daily occurrence; whether it be because of chronic pain or illness, or if it's an inability to "turn off your brain" at night.  Hopefully we can all share thoughts, ideas, helpful tips, etc., that may help a fellow insomniac get a few blissful hours of shut-eye.
social_security_disability_or_ssdi	Social Security Disability or SSDI	Public	 General Health 	33	I wanted to start this group to keep in touch with others and to help or get tips from others about SSDI since there isn't a forum for it.Where are you in the filing process? What have you learned or need to know so we can help each other through the long treacherous process.
a_place_to_relax	A place to Relax	Public	 MedHelp General 	71	A place to Relax, is a group for those who wish to take their minds off of their pain, or any other problem life may throw your way, to relax and have fun. You may play games, chat about Tv shows/movies, books, video games, sports, etc. Any topic is allowed to be discussed here, EXCEPT medical issues. Why? Since this group is based on temporarily forgetting the pain/worries of everyday life, and helping you relax, those type of posts are banned. Please feel free to ask me if you have any questions. Thanks for joining! I hope you'll enjoy it here! :)
methadone_and_suboxone_withdrawl_and_addition	Methadone and Suboxone withdrawl and addition	Public	 Addiction 	6	This is a new group started the FIRST DAY OF THE YEAR 2012 started for people that are wanting to get off Methadone and/or Suboxone. Please post your experiences because the worst part of getting clean of these synthetic opiates is "THE UNKNOWN"
embryo_donation	Embryo Donation	Public	 Pregnancy 	6	For those exploring embryo donation to conceive, and women who have completed their families and are thinking about donating their leftover embryos to others.
speak_your_mind	Speak Your Mind	 Private 	 Healthy Living 	9	A place for people with strongly held opinions to discuss whatever is on their minds.  There is plenty in the news to provide fodder for interesting discussion.  This is a place to state your thoughts and ideas.  While current events will probably predominate, we can also revisit interesting topics from the past.  Open communication is encouraged.  If you have a link to a source we would love to see it, but if you want to discuss topics that are not currently in the public eye there's a place for you here too.Its good to be able to say what we think without oppressive rules.  You can do that here.
self_harm_community	Self Harm Community	Public	 Mental/Emotional Health 	6	This is a group where those struggling with self harm issues can come to be supported in a safe, warm, and supportive environment.  PLEASE NOTE: If there is a possibility that what you write may "trigger" someone, please leave a warning and space in  the title of your post and inside the post itself so that we do not unintentionally trigger others who are vulnerable.
maternity_ward_	Maternity ward 	Public	 Pregnancy 	2	A place where mom to be can come and relax. Take a break from ï»¿the day to day stress with friends and vent,  even ask those questions we need answers to. Come on in let's share our pregnant stories and announce ï»¿the birth out our little miricals!
birdwatchers_dream	Birdwatchers Dream	Public	 MedHelp General 	12	This is a group for all members who enjoy Birdwatching/Birding. :)
addiction_chat_group	Addiction Chat Group	Public	 Addiction 	378	This is a chat group for anyone who needs to vent about thier problems with addiction to opiates (including methadone), benzos, tranquilizers, sedatives, alcohol, cocaine, methamphetamine and any other drug that is causing you problems in your life or that have become a normal part of your life, like drinking water and eating.
maxilofacial___oral_surgery	Maxilofacial & Oral Surgery	Public	 MedHelp General 	3	Oral surgeries, benign or malignant tumors, reconstructive procedures...etc.
cardiac_syndrome_x__cardiac_microvascular_dysfunction	Cardiac Syndrome X- cardiac microvascular dysfunction	Public	 Heart 	37	Vasopastic angina of small heart vessels with normal coronary arteries confirmed by cardiac cath. Main symptoms are shortness of breath and chest tightness or pain on exertion and/or chest pain, not on exertion.
pregnancy_after_tubal_ligation_surgery	Pregnancy After Tubal Ligation Surgery	Public	 Pregnancy 	116	This site is for all women who have conceived and/or given birth after having any type of tubal ligation surgery.  Please join us and share your experiences.
always_dreaming	Always Dreaming	Public	 Sleep Disorders 	80	This is a group to chat about any dreams you have had while you were sleeping, and/or about lucid dreaming.
ideas_for_economical_living___	Ideas for economical living . 	Public	 MedHelp General 	66	We are all in a tough time in America so it seems a good idea to share tips, ideas, for economical living, how do we afford new 'stuff' and where can we get good 'used stuff '..be interested in any ideas to cope .what may be a long haul.When the going gets tough the tough get going '
___creative_writing_therapy	   creative writing therapy	Public	 Mental/Emotional Health 	58	This group is for people to write a journal, or thoughts to be viewed by all of us because we are all one together reaching out to each other. We indeed are all on the same ship, sailing through rough waters together,. keeping each other afloat. We will write stories, thoughts ,happenings, it's up to each one of us. By sharing our writings we will grow closer, and anticipate with delight ,or horror or sympathy what each one of us will write next. It's very cleansing. After a few entries, you will notice the creativity will poor out of you.You will also see a big difference in yourself. yours' truly KAVEKLIMBER666
natural_health	Natural Health	Public	 Alternative Medicine 	37	Learn a few tricks to achieve good health by doing simple things and having good lifestyle habits. We are talking natural remedies/supplements, vitamins, nutrition, exercise, naturopathy and herbs with awesome proprieties.A good place for anyone with physical or mental illness or disorder that want to improve their condition or anyone interested in the subjects.
vocal_cord_paralysis	Vocal Cord Paralysis	Public	 MedHelp General 	15	When I was diagnosed with Unilateral Vocal Fold Paralysis a year ago, I found it very difficult to find others who also suffer from this. I was, actually still am devastated as it has affected every aspect of my life, and not for the better :-( I have had two Vocal Fold Augmentations over the last year, just buying time to see if my RLN  would decide to recover. My doctor is now ready to move on to a more permanent solution. I just want to make the best decision, just like I am sure you do. This is where patients sharing there personal experiences with other patients is so critical. Straight information... nothing sugar coated... just the fact. I mean, we are talking about our voice, as well as the rest of our lives! I would love to bring people who suffer from VCP together to share our stories, feelings, experiences, treatment outcomes, etc.
family_members_of_prisoner	family members of prisoner	Public	 Mental/Emotional Health 	10	family members dealing with a loved one being held in prison.
hcg_protocol_group	HCG Protocol Group	Public	 Healthy Living 	65	This is for People following the Pounds and Inches Protocol. Or working towards a healthier Weight and lower BMI.
_california	 California	Public	 MedHelp General 	1	This is a group for people who live in California to discuss California things.  I would Like this to be a place for People to get support as well as discuss issues that involve California
_cosmetyn_cream	 Cosmetyn Cream	Public	 Diabetes 	1	A regular use of this skin cream will give a Hollywood look for the user. If you want an intensive stretch mark therapy there is nothing better than the Cosmetyn cream. Cosmetyn reviews will vouch for that. Age is not a problem now to have a clear and beautiful skin.Cosmetyn Cream
foot_drop_	Foot Drop 	Public	 Neurology 	48	Foot Drop is a support group. The goal of group is to share information, and connect with others dealing with foot drop. Foot Drop can be caused by stroke, back or spine injury and tumor.
_fibromuscular_dysplasia	 Fibromuscular Dysplasia	Public	 Blood & Vascular 	4	Advocate for FMD, Fibromuscular Dysplasia. Offering support to patients with this rare disease like myself, and others hoping to learn more about FMD.
suboxone_club_	SUBOXONE CLUB 	Public	 Addiction 	65	FOR PEOPLE ON SUBOXONE ONLY
depression_and_anxiety	Depression and Anxiety	Public	 MedHelp General 	54	Group to support and relate to those who are pleagued with these horrible symptoms.  Want to be like a family for those who dont have a family support Group.  Share what has helped and what hasn't
medical_marijuana	medical marijuana	Public	 Alternative Medicine 	5	a group for the discussion of the medical benifits of the "Weed"
maxfacesurgery	maxfacesurgery	Public	 Dental 	2	let us discuss about the oral and maxillofacial surgery and medicine
vbac	vbac	Public	 Pregnancy 	2	this site is for all woman who have had a vbac are is going to have a vbac.
hiv_like_illness__	HIV like illness  	Public	 Infectious Diseases 	11	This Group is for people suffering from undiagnosed list of symptoms after having an exposure with no answers from doctors , symptoms are much the same between people suffering some have more and some got less but they all meet in at least half of the list will be mentioned .this group will give people a hope and tell them that they are not alone and when we reach a good a number of people we can push for starting a research about our medical condition and not only to keep setting and listening to anxiety stories as people other people did ,, we have a faith and tests that proves we are sick from unknown condition and that why we should never stop searching OUR LIFE OUR CHOICE..This illness symptoms are :1) Oral trush on my tongue with red spots 2) Enlargement painful lymph node in armpit , nick and groin area   (CT scan proved ) 3) Skin rashes on the chest and behind my ears 4) fatigue 5) muscle pain and Joints pain6) Dry mouth, Oral ulcers 7) stomach ache 8) abdominal pain 9) chest pain 10) shortness of breathing 11) night swets on the beginning of the illness 12) CD 8 is higher than CD 4  and some times CD 4 is less than normal13) Wight drop at the begging of illness then patient gain some weight after 3 months
dinner_table	dinner table	 Private 	 Diabetes 	7	Fun place to relax, laugh, & share a funny story or a great recipe!
_litigation_stress_syndrome_	 LITIGATION STRESS SYNDROME 	Public	 Mental/Emotional Health 	2	This is a relatively newly recognized condition. Due to the increasing number of legal actions, especially in the United States, this problem unfortunately will be encountered with increasing frequency. It occurs when a person is named in a lawsuit.A patient may typically report initial shock, dismay, and anger. This is often followed by depressive feelings, especially a feeling of paralysis and lack of power or control over her/his life. Hyperactivity, hyperacute senses and insomnia are common. There is often a feeling of abandonment and aloneness. Despondency can occur, often to the point of self-destructive behavior or even suicide. This is not talked about much but I can personally attest to its effects. Let us know if you are struggling with this as well.
vba3c	VBA3C	Public	 Pregnancy 	1	Talk about Attempts, Success or plan for a VBA3C (vaginal birth after 3 csections)
addiction___spirituality	Addiction : spirituality	Public	 Addiction 	65	Anyone can join this group reagardless of faith, denomination, or religion
adult_novelties	Adult Novelties	 Private 	 Sexual Health 	102	I  ran an adult novelties store for years.I thought I new so much about adult novelties ohhh my was I wrong .There are some great things out there for cpls and just for you .Lets chat compare talk about discussing it with our partners ..    This is going to have to be a private group because of the adult nature you have to be 18 .There will be no pornograpic pictures .Plz this is not a group to try to pick up members and have cyber sex if you do it will be removed and you will be banned.Come check it out and lets talk there are some really cool things out  there .
acdf_with_solis_cage	acdf with solis cage	Public	 Orthopedics 	3	acdf with solis cagei can find loads of information about acdf's with instrumentation, but practically nothing of people with experience of solis cage fusiongive me your experiences
adhd_parents	ADHDParents	 Private 	 Children's Health 	1	Support and Education for parents who have children with AD/HD.
abdominal_adhesions	abdominal adhesions	Public	 Pain 	38	They are bands of scar tissue that form internally within the abdomen.They can attach themselves to anything and they cause very severe pain.They can also cause whatever organ they are attached to to malfunction and can cause bowel obstructions.
adorable_paws	Adorable Paws	Public	 Pets 	44	This is a group to talk about anything relating to dogs such as dog training, dog breeds, etc.
abc_topics_group	ABC Topics Group	Public	 MedHelp General 	9	I thought this group would be a cool idea. The topic for this group changes every two weeks by poll vote. The second topic that was voted in was MOVIES. You may chat about anything relating to movies here until the next topic change on December 4, 2009. If this group sounds interesting to you, please come and check it out. Thanks, I hope you will enjoy it here!!! :) :) :)
addiction_infromation_chat_between_other_addicts_and_support	ADDICTION/INFROMATION/CHAT BETWEEN OTHER ADDICTS AND SUPPORT	Public	 Addiction 	17	CHAT BETWEEN EACH OTHER SHARE STORIES SUPPORT FEELINGS OF RELAPS AND JUST TO TALK
youngmommys	*~YoUnG mOmMyS!~*	Public	 Pregnancy 	45	For moms ages 16-25I was a mom at the age of 16 and I really wanted a group my own age to go to! There isn't one right now so I thought I would start one!
a_walk_down_to_remember	a walk down to remember	Public	 Healthy Living 	3	this group is all those who love traveling and food.Lets share our experiences about all those unforgettable destinations we have been to,and those exotic meals whose aroma still lies in our memories!
addiction_	Addiction 	Public	 Addiction 	37	Need help with Addiction? need help understanding Addiction?? Please join our group! Youve come to the right place!! We will do our very best to help you! All Addicts And Non Addicts Welcomed!!
adult_adhd	Adult ADHD	Public	 General Health 	29	For adults who have ADD/ADHD, suspect they might, or anyone who lives with, loves or works with an ADHD adult! Join us in sharing your experiences, questions, and (especially the tools or strategies you use to perform at your best level).
adhd_adults	ADHD Adults	Public	 Mental/Emotional Health 	18	A group to gather our thoughts on how ADHD has impacted our lives.
__2010___2011_babies__	* 2010 & 2011 Babies *	Public	 MedHelp General 	3	-This is a group for anyone who has had a baby in 2010 and anyone who has had a baby or is expecting a baby in 2011. Its also a group for the ones who have BOTH! You may write about anything baby related.
adhd_teens_and_young_adults	ADHD teens and young adults	Public	 Diabetes 	6	those that suffering adhd will get helpful advise cause i (stryker0014) am a teen suffering with adhd too
addicted_to_food_food_addics_	ADDICTED TO FOOD/FOOD ADDICS 	Public	 Healthy Living 	9	LIKE YOU WOULD SEE ON  THE OWN NETWORK  ~Addicted to food! 12 step program ! LETS TALK & HELP EACH OTHER!
adault_adhd	Adault ADHD	 Private 	 Mental/Emotional Health 	2	Tips for people with ADHD
abortion	abortion/termination	Public	 MedHelp General 	12	if you are considering, have gone through already or want to support someone going through a termination; here is a place you can talk openly about your beliefs, personal experiences and need for support through this controversial procedure. As well its after effects on both men and women pro life or pro choice welcome (no arguments here please.)We are all human beings and everyone needs support the following.thanks, sincerely group owner
addiction_and_the_road_to_recovery	Addiction and the road to recovery	Public	 Addiction 	2	What every you addiction is there is hope but dont try to do it ALONE!
addiction_to_gay_porn	addiction to gay porn	Public	 Addiction 	1	Boyfriend addicted to gay porn and masturbation
addicted_to_pills	Addicted to pills	Public	 Addiction 	9	This group is for those of us who are addicted to Percocet, Vicodin, Norco, etc. and want to be free of these drugs, but need some support.
10__club_	10% Club 	 Private 	 Healthy Living 	3	Trying to lose 10% and lead a healthy life!
_mothers_and_the_balance_of_a_stressful_life_	 Mothers and the balance of a stressful life 	Public	 Mental/Emotional Health 	6	Life is Stressful, making all the list, filling out all the paper work, cleaning all the things, and raising the children. Lets face it- We women have a busy life, eventful and most times stressful . I myself am a full time college student and a single mother of two young kids. Life can just become so overwhelming and Being able to cope is vital for our own health. Join the group to talk with others, share information, being either advice on parenting, the life of a single parent, or the overwhelming work of a full time student. Some one to chat with, or share your coping methods. how do you balance life? Seek support from others or be supportive.
22q11_2	22q11.2	Public	 MedHelp General 	1	vcfs..22q11.2..is a genetic syndrome which in itself is rare but with so many many further complications...these include,developemental delay,cardiac problems,learning difficulties,bowel conditions,muscle problems,ear nose and throat..sleep problems.breathing difficulties,..unfortunately..the list is endless..but awareness is priority..
adults_with_adhd	Adults with ADHD	Public	 Healthy Living 	1	Comment on the challenges of leading a life wuth ADHD. Particularly if diagnosed as an adult. Sharing possible tips for leading a happier organized life style.
animal_lovers_group	Animal Lovers Group	Public	 Pets 	158	This is a group for anyone who has a strong love of animals. Members of this group may chat about daily happenings related to animals, pets, etc.
anxiety_disorder	Anxiety Disorder	Public	 Mental/Emotional Health 	142	Suffering from frequent panic attacks? You're not alone.
any_wow_addicts_out_there	Any wow addicts out there	Public	 Addiction 	9	world of warcraft addicts
any_video_gamers_here	Any Video Gamers Here	Public	 MedHelp General 	31	This is a group for anyone who loves to play any kinds of Video Games, and/or PC games.
all_around	All around	Public	 MedHelp General 	8	Feel free to talk about anything.
anxiety_related_disorders	anxiety related disorders	Public	 Mental/Emotional Health 	104	If your feeling unreal, dissociated or away from yourself, your not alone, there is help at hand
angst_og_depresjon_	Angst og depresjon 	Public	 Pain 	6	En gruppe hvor vi kan diskutere angst og depresjon, samt medisiner og behandlinger. Vi kan utveksle erfaringer og tanker knyttet rundt depresjon og angst og samtidig fÃ¥ tips fra hverandre om hva som gjÃ¸r tilstanden bedre.
afvalrace	Afvalrace	 Private 	 Organ Donors 	6	Afvalrace!
apple_cider_vinegar_for_weightloss	Apple Cider Vinegar for weightloss	Public	 Alternative Medicine 	6	I was crippled by sevoherric dermatitis for more than 10 years and I started washing my face and then cleaning it with ethyl alcohol followed by Apple Cider Vinegar with the mother and letting it dry and covering my face with aloe vera. The results were imressive and fast. It was painful to the open wounds but it work like a miracle. For the first time in my life I had a clean beautiful complexion. My face was free of the corticoids addiction. Now I started to mix ACV with the mother with V8 and orange juice. A tablespoon for each cup of juice. I drink this before each meal and it curbs my appetite like nothing else. I will post results when I notice any weightloss. I don't diet or weight. And I am not impatient I will wait whatever it takes to know if it worked to lose weight. Meanwhile almost immediately I notice a beautiful skin complexion all over my body and no more sevoherric in my head.
alcohol__addiction__and_pregnancy____	ALCOHOL, ADDICTION, AND PREGNANCY,,,,	Public	 Addiction 	8	Just a view into pregnant mothers who have had or have an addiction whilst being regnant.
always_knackered	Always Knackered	Public	 Sleep Disorders 	4	Always tired can't escape the lethargy . Share stories and experiences .
alzheimer_s_caregivers	Alzheimer's Caregivers	Public	 Senior Health 	1	Caregivers of relatives with Alzheimer's disease are not only under extreme stress, but are subject to illness themselves and a high percentage of them will die before their Alzheimer's patient. How are you coping with this disease? What support do you have.need?
anal_and_rectal_disorders	Anal and Rectal Disorders	Public	 Pain 	9	I have spent a considerable amount of time in the last eight months researching pain in the anorectal area.  I know from doing the research that there are many people out there with Fissures, Fistulas and assorted other problems, who are going through the same pain as I am experiencing on a daily basis. So, I thought it would be good to form a little group where we could share the problems, and what you have done or are doing to remedy things. I am not a nurse or in the medical profession, just someone going through constant pain and happy to share it!
anything_about_ectopic_pregnancy	Anything about ECTOPIC PREGNANCY	Public	 Women's Health 	2	share your story, feelings or questions about ectopic pregnancy
am_i_or_aren_t_i_	Am I or aren't I?	Public	 Pregnancy 	8	those signs that seem real but is it just a case of all in your head..
all_about_work	All About Work	Public	 MedHelp General 	2	Let's talk about work!  Our loves, our hates, our questions.  Please refrain from mentioning business names or real names of people, to protect their privacy, as well as some dignity. :)
anorexia_and_bulimia	Anorexia and bulimia	Public	 Mental/Emotional Health 	10	I didn't see a group for these specific 2 eating disorders, I saw and joined the general eating disorder group but wanted to see a self help group for these 2 in general for questions and answers, etc.
age_35__ttc_first_baby_after_mirena	Age 35+ TTC First Baby After Mirena	Public	 Pregnancy 	1	Women Age 35+ Trying to Conceive First Baby After Having IUD/Mirena Removed
aids_nd_hiv	Aids nd hiv	Public	 HIV/STDs 	1	This forum is for anyone struggling with accepting a parent having  HIV nd AIDS
alcohol_abuse_treatment_centers	alcohol abuse treatment centers	Public	 General Health 	1	alcohol abuse treatment centers     National Therapeutic Services Inc. is a nationally recognized drug rehab center offering mental health and addiction services in Orange County California. Start living sober today.
am_i_pregnant	am I pregnant	Public	 Pregnancy 	3	People who are not sure if they are pregnant
alcohol_outpatient_programs	Alcohol Outpatient Programs	Public	 Diabetes 	1	Alcohol Outpatient Programs     National Therapeutic Services Inc. is a nationally recognized drug rehab center offering mental health and addiction services in Orange County California. Start living sober today.
anterior_cervical_discectomy_with_fusion_surgery_patients	Anterior Cervical Discectomy with Fusion Surgery Patients	Public	 Neurology 	1	Folks that have had the (ACDF) procedure and are either having the procedure done in the future or folks that are currently recovering from the procedure as well of all of those who have had the surgery.  All experiences, stories, and questions are invited.
affordable_surgery	Affordable surgery	Public	 Healthy Living 	1	Mayo hopkins Global Health care services provides affordable health care and treatment .They provide instant approach to our health related problems .
all_about_sex	All About Sex	Public	 Sexual Health 	1	A safe place to discuss anything about sex, intimacy, etcâ¦ Don't be shyâ¦ anything goes
autism_social	Autism Social	Public	 Neurology 	5	This group is for autistics to socialize about normal their interests.
baby_angels	Baby Angels	Public	 MedHelp General 	142	This is group was designed to give support to grieving parents who's infant has become a Baby Angel. May you find comfort within this group and know that you will never have to walk this journey alone! God Bless All of Our Baby Angels!
baby_dust_buddies___ttc_and_pregnancy_after_a_loss	Baby Dust Buddies - TTC and Pregnancy after a Loss	Public	 Pregnancy 	464	Our TTC and Pregnancy after a Loss Group is a Public Group for women to share their conception journeys after a miscarriage.  From starting over after a loss; surviving the two week wait; dealing with a BFN; celebrating the coveted BFP and making it through nine months of worry.  Baby dust is sprinkled joyfully and liberally all around.
ars_symptoms_	ARS Symptoms 	Public	 HIV/STDs 	12	To discuss Ars Symptoms
autoimmune_thyroid_disorders_suck_	Autoimmune Thyroid Disorders Suck!	Public	 Thyroid 	127	Let's face it; living with thyroid disorders (autoimmune or not) can completely suck!  And nobody knows this or truly understands it unless they go through it.  This group was created for those who experience the numerous trying symptoms that the thyroid/immune system can throw at us, so we can empathize with one another, and/or share a few tips and tricks to cope.
air	Autoimmune Retinopathy	 Private 	 Autoimmune 	1	A group for people with Autoimmune retinopathy or similar problems.  Anyone welcome.
autism_in_adults	autism in adults	Public	 Neurology 	4	support group for parents of adult autistic persons
ask_peekawho	Ask Peekawho	Public	 MedHelp General 	72	Possibly only the product of an acute illness with fever, Ask Peekawho is a group for people who want answers--not necessarily the RIGHT answer, but it will be an answer.Answers are heavily slanted towards the negative, glass is half empty type of answer, because that's just how Peekawho rolls.
babies__going_to_the_ends_of_the_earth_to_have_children	Babies, Going to the ends of the earth to have children	Public	 Children's Health 	7	Hi,I am 49, married and have two older children.  I am in poor health and have a terminal illness.  My husband and I are considering a very controversial course to have another child before I leave this life.  I know many people don't agree with the way we feel and think it is unfair to the child but we have special circumstances as many people do that makes this a possibility.If you are going to the ends of the earth, literally or figuratively to have a child or more children, I invite you to join me on this journey.
argentinas_de_28_dias_	Argentinas de 28 dias!	Public	 Women's Health 	15	Grupo para las argentinas del foro de 28 dias!!!
baby_dust_ladies	Baby Dust Ladies	 Private 	 Pregnancy 	4	For us old & new baby dust ladies who are TTC or currently pregnant - most of us with baby #2
babies	babies	Public	 Children's Health 	5	for example if your baby cries alot,let us know,we'll help you...
april_2011_babies	April 2011 babies	Public	 Pregnancy 	51	This is the place to ask questions, post information, and share stories and support with other women due in April 2011. Congrats on your pregnancy
ashermans_syndrome	Ashermans Syndrome	Public	 Women's Health 	11	Ladies who suffer from or have suffered from Asherman's Syndrome.  Uterine adhesions that are caused by a DNC or by uterine trauma.  Ladies that are struggling to become pregnant because of uterine adhesions, or ladies who have beat Asherman's and are pregnant or have already given birth.  Ladies that struggle from a thin uterine lining do to adhesions.A place to share success stories or fears and frustrations.  A place to find treatment, and share ideas.
august_2011_babies	August 2011 babies	Public	 Pregnancy 	20	women that are due August 2011 join here to compare stories as we grow together in our pregnancies
baby_food_group	Baby Food Group	Public	 Children's Health 	31	Help, tips and suggestions for parents on the topic of baby food. When to start, how to start, menu suggestions, questions and how to make your own baby food.
baby__5_	BABY #5 	Public	 Pregnancy 	3	If you're pregnant with baby #5 this group if perfect for you we can discuss all the ups and downs and dificulties that come with a big family or if you just want a reason to excape the hectic life we live for a few mins join this group
asthma_lalala	asthma lalala	 Private 	 Asthma & Allergy 	1	Something more about asthma
asthma_ma	asthma ma	Public	 Asthma & Allergy 	3	o astmie i nie tylko
aspergers_social	Aspergers Social	Public	 General Health 	5	I have been diagnosed with Asperger's myself. So I thought I would create a group for Aspies to get together, and chat about anything.
august2012babies	August 2012 Babies	Public	 Pregnancy 	7	For mothers and fathers expecting their new bundles of joy in the month of August, 2012.
baby_shower	Baby Shower	Public	 MedHelp General 	1	What were your experiences with your baby shower?  Were you overwhelmed with the planning?  Were you happy or unhappy with the way it turned out?  Did you have someone helping you?  Did you fill out registries?  Did anyone even look at your registry, or purchase anything off of it?  How many baby showers did you have?  How many months were you when you had your baby shower?  What baby items did you find out were the most important to have?...
april_2013_babies	April 2013 Babies	Public	 Pregnancy 	2	Mothers expecting in April 2013
artificial_insemination	Artificial Insemination	Public	 Men's Health 	1	I am an indian Medical Doctor from Kerala state.Can provide Artificial Insemination-Donor service for the required couples .My contact: E-mail: sk_mp21@yahoo.co.in
ayuda	ayuda	 Private 	 Mental/Emotional Health 	1	solo quiero ayuda para mis problemas
books_books_books	Books books books	Public	 MedHelp General 	79	A group dedicated to the discussion and proliferation of books.
benzodiazapene_withdrawal	benzodiazapene withdrawal	Public	 General Health 	20	help and discussions for people trying to get off dr prescribed benzos
big_c	BigC	Public	 Cancer 	3	Experiences, a way forward, a road map for the future
